Protein,Number Hits (e < 0.1),AlphaFold,PDB,MGnify,GMGC,Genera (not N/A),Top Hits Notes
Mp15,822,474,70,270,8,"['Acyrthosiphon', 'Sipha', 'Aphis', 'Cinara', 'Homalodisca', 'Orchesella', 'Folsomia', 'Daphnia', 'Rhodnius', 'Brachionus', 'Cryptotermes', 'Hyphantria', 'Drosophila', 'Darwinula', 'Schistocerca', 'Porphyromonadaceae', 'Dendroctonus', 'Chitinophaga', 'Panstrongylus', 'Trichoplusia', 'Mizuhopecten', 'Coptotermes', 'Anopheles', 'Methylococcaceae', 'Ilyobacter', 'Frankliniella', 'Clunio', 'Lupinus', 'Mucilaginibacter', 'Paraphotobacterium', 'Caenorhabditis', 'Amphibalanus', 'Ephemera', 'Balneicella', 'Danaus', 'Mytilus', 'Photinus', 'Alistipes', 'Aphidius', 'Flavobacterium', 'Shigella', 'Orbus', 'Clastoptera', 'Homo', 'Halomonas', 'Pedobacter', 'Pieris', 'Escherichia', 'Tigriopus', 'Apolygus', 'Gallus', 'Flavobacteriales', 'Rhodocyclaceae', 'Candidatus', 'Citrobacter', 'Naegleria', 'Ralstonia', 'Lingula', 'Psorophora', 'Tetranychus', 'Elizabethkingia', 'unclassified', 'Klebsiella', 'Glycine', 'Salmonella', 'Lutzomyia', 'Dictyostelium', 'Stylonychia', 'Treponema', 'Verrucomicrobiae', 'Bacteroidales', 'Microbulbifer', 'Henriciella', 'Arabidopsis', 'Alteromonas', 'Idiomarinaceae', 'Medioppia', 'Sphingobacterium', 'Ignavibacteriales', 'Comamonas', 'Trichuris', 'Nitrospira', 'Oncorhynchus', 'Bos', 'Photobacterium', 'Hydrogenophilales', 'Planctomycetota', 'Elusimicrobia', 'Amblyomma', 'Formosa', 'Brumimicrobium', 'Danio', 'Kushneria', 'Verrucomicrobia', 'Simiduia', 'Rhyparobia', 'gamma', 'Chromatiales', 'Rotaria', 'Pararheinheimera', 'Vibrio', 'Pseudoalteromonas', 'Sus', 'Xanthomonadales', 'Equus', 'Marinobacter', 'Meleagris', 'Rheinheimera', 'Mariprofundus', 'Syntrophus', 'Gorilla', 'Roseimicrobium', 'Spongiibacteraceae', 'Pseudomonas', 'Cyanobium', 'Porticoccaceae', 'Mus', 'Pan', 'Ochrobactrum', 'Capitella', 'Felis', 'Calcidiscus', 'Rattus', 'Cynops', 'Rhipicephalus', 'Pseudictyota', 'Xenopus', 'Lonomia', 'Ursus', 'Echeneis', 'Tolypothrix', 'Oryctolagus', 'Cuerna', 'Synechococcus', 'Strongylocentrotus', 'Salinarimonas', 'Nicotiana', 'Graphocephala', 'Hyalomma', 'Calothrix', 'Bemisia', 'Ectocarpus', 'Fischerella', 'Phormidium', 'Leptolyngbya', 'Thermoleptolyngbya', 'Vitrella', 'Chloropicon', 'Micractinium', 'Richelia', 'Cyclophora', 'Cucumis', 'Thalassiosira', 'Manduca', 'Mesocricetus', 'Eutreptiella', 'uncultured', 'Fistulifera', 'Amphimedon', 'Culex', 'Notamacropus', 'Alkalinema', 'Ostreococcus', 'Chamaesiphon', 'Chlorella', 'Cricetus', 'Prosthecochloris', 'Chondrus', 'Carex', 'Trieres', 'Vigna', 'Cyanobacteria', 'Gammaproteobacteria', 'Oryza', 'Symbiodinium', 'Phaeodactylum', 'Zea', 'Prevotella', 'Gemmatimonadetes', 'Chromera', 'Pseudobacteriovorax', 'Marivirga', 'Collichthys', 'Chitinophagaceae', 'Acidobacteria', 'Planctopirus', 'Amycolatopsis', 'Roseomonas', 'Phycisphaerae', 'Devosia', 'marine', 'Chrysochromulina', 'Cavia', 'Micromonas', 'Alexandrium', 'Hymenobacter', 'Deltaproteobacteria', 'Saprospiraceae', 'Polaribacter', 'Rikenella', 'Strongyloides', 'Flavobacteriaceae', 'Lachnospira', 'Solihabitans', 'Sandaracinaceae', 'Massilia', 'Betaproteobacteria', 'Acidithiobacillus', 'Chlorobium', 'Cyclobacterium', 'Pelodiscus', 'Sphingobacteriales', 'Neisseria', 'Morganella', 'Steroidobacter', 'Pseudorhodoferax', 'Cytophagaceae', 'Stenomitos', 'Pyxidicoccus', 'Bacteroidetes', 'Rhodoferax', 'Planctomycetes', 'Mycobacterium', 'Providencia', 'Usitatibacter', 'Fibrobacter', 'Janthinobacterium', 'Roseococcus', 'Streptomyces', 'Pontibacter', 'Adhaeribacter', 'Sandaracinus', 'Mycolicibacterium', 'Sphingomonas', 'Pyrinomonadaceae', 'Algoriphagus', 'Nocardioides', 'BD1-7', 'Streptomonospora', 'Sphingomonadales', 'Dracunculus', 'Oceanotoga', 'Spinacia', 'Pseudoflavitalea', 'Solanum', 'Fritillaria', 'Haliangium', 'Chitinivibrio', 'Flammeovirga', 'Euglena', 'Aeromonas', 'Brugia', 'Onchocerca', 'Methylobacterium', 'Frankia', 'Chlamydomonas', 'Pisum', 'Ignavibacteriae', 'Desulfobulbaceae', 'bioreactor', 'Volvox', 'Salinispora']","lipocalin fatty acid binding, nitrophorin (0.00, 100, insect)"
Mp16,1,1,0,0,0,['Aphis'],"Uncharacterized protein (0.00, 1, aphid)"
Mp17,1065,1049,0,16,0,"['Acyrthosiphon', 'Aphis', 'Melanaphis', 'Schizaphis', 'Sipha', 'Cinara', 'Asbolus', 'Leptinotarsa', 'Drosophila', 'Anopheles', 'Agrilus', 'Tenebrio', 'Daphnia', 'Lutzomyia', 'Hordeum', 'Oncopeltus', 'Nilaparvata', 'Folsomia', 'Diabrotica', 'Laodelphax', 'Blattella', 'Glossina', 'Ceratitis', 'Heliothis', 'Frankliniella', 'Bombyx', 'Artemia', 'Locusta', 'Apolygus', 'Cimex', 'Danaus', 'Dendroctonus', 'Nesidiocoris', 'Spodoptera', 'Ephemera', 'Trichoplusia', 'Photinus', 'Trichogramma', 'Callosobruchus', 'Rhodnius', 'Triatoma', 'Oryctes', 'Diaphorina', 'Amphibalanus', 'Helicoverpa', 'Operophtera', 'Timema', 'Culex', 'Zeugodacus', 'Lygus', 'Chilo', 'Abscondita', 'Lucilia', 'Papilio', 'Graphocephala', 'Thrips', 'Aphidius', 'Hirondellea', 'Pieris', 'Coptotermes', 'Eumeta', 'Aedes', 'Caligus', 'Zootermopsis', 'Cuerna', 'Corethrella', 'Lamprigera', 'Melipona', 'Hyalella', 'Cryptotermes', 'Bradysia', 'Macrobrachium', 'Tribolium', 'Hermetia', 'Rhynchophorus', 'Neodiprion', 'Sitophilus', 'Galleria', 'Orchesella', 'Nasonia', 'Cyprideis', 'Ooceraea', 'Culicoides', 'Tigriopus', 'Nyssomyia', 'Clastoptera', 'Bactrocera', 'Bicyclus', 'Lepeophtheirus', 'Panstrongylus', 'Homalodisca', 'Plutella', 'Harpegnathos', 'Acromyrmex', 'Microplitis', 'Stomoxys', 'Aceria', 'Clunio', 'Apis', 'Musca', 'Megaselia', 'Scylla', 'Portunus', 'Vespula', 'Penaeus', 'Lasius', 'Blaberus', 'Trichomalopsis', 'Cyphomyrmex', 'Notodromas', 'Dinoponera', 'Strigamia', 'Galeruca', 'Habropoda', 'Dufourea', 'Temnothorax', 'Leptidea', 'Heterotrigona', 'Pediculus', 'Fopius', 'Frieseomelitta', 'Hyalophora', 'Scaptodrosophila', 'Darwinula', 'Xenopsylla', 'Bombus', 'Phlebotomus', 'Camponotus', 'Hodotermopsis', 'Tetranychus', 'Araneus', 'bacterium', 'Argulus']","cuticle protein (0.00, 100, insect)"
Mp19,0,0,0,0,0,None,None
Mp20,0,0,0,0,0,None,None
Mp21,5,5,0,0,0,"['Aphis', 'Lygus', 'Timema', 'Drosophila', 'Lucilia']","cardioactive peptide (0.00, 3, insect)"
Mp22,108,107,0,1,0,"['Acyrthosiphon', 'Xenopsylla', 'Photinus', 'Sipha', 'Abscondita', 'Agrilus', 'Anopheles', 'Bracon', 'Rhynchophorus', 'Frankliniella', 'Diabrotica', 'Pogonomyrmex', 'Apis', 'Drosophila', 'Bombus', 'Tribolium', 'Cuerna', 'Amblyomma', 'Armadillidium', 'Pediculus', 'Timema', 'Scaptodrosophila', 'Phlebotomus', 'Clastoptera', 'Nyssomyia', 'Daphnia', 'Panstrongylus', 'Neodiprion', 'Lygus', 'Amphibalanus', 'Aedes', 'Hermetia', 'Homalodisca', 'Acromyrmex', 'Coptotermes', 'Nasonia', 'Lamprigera', 'Folsomia', 'Orchesella', 'Varroa', 'Callosobruchus', 'Blattella', 'Apolygus', 'Laodelphax', 'Tigriopus', 'Hyalella', 'Glossina', 'Lasius', 'Notodromas', 'Parasteatoda', 'Oppiella', 'Trichomalopsis', 'Temnothorax', 'Dufourea', 'Oncopeltus', 'Sarcoptes', 'Zootermopsis', 'Medioppia', 'Megaselia', 'Dinothrombium', 'Diaphorina', 'Strigamia', 'Camponotus', 'Euroglyphus', 'Atta', 'Ixodes', 'Vespula', 'Aceria', 'Dermatophagoides', 'Cyprideis', 'Ramazzottius', 'Hypsibius', 'Nesidiocoris']","Uncharacterized protein (0.00, 100, insect)"
Mp23,1136,1120,1,15,0,"['Aphis', 'Cinara', 'Aedes', 'Ephemera', 'Thrips', 'Diabrotica', 'Blattella', 'Frankliniella', 'Oncopeltus', 'Anopheles', 'Papilio', 'Cryptotermes', 'Culicoides', 'Agrilus', 'Bactrocera', 'Clunio', 'Rhodnius', 'Galleria', 'Homalodisca', 'Lucilia', 'Graphocephala', 'Coptotermes', 'Asbolus', 'Timema', 'Zootermopsis', 'Clastoptera', 'Bicyclus', 'Anthurium', 'Stomoxys', 'Plutella', 'Lygus', 'Phlebotomus', 'Danaus', 'Pediculus', 'Laodelphax', 'Triatoma', 'Solenopsis', 'Glossina', 'Drosophila', 'Nilaparvata', 'Cuerna', 'Dendroctonus', 'Corethrella', 'Apolygus', 'Eumeta', 'Sitophilus', 'Hermetia', 'Bracon', 'Cimex', 'Lamprigera', 'Atta', 'Tribolium', 'Schistocerca', 'Photinus', 'Daphnia', 'Locusta', 'Nasonia', 'Bombyx', 'Neodiprion', 'Spodoptera', 'Xenopsylla', 'Eufriesea', 'Pieris', 'Ceratitis', 'Orchesella', 'Trichogramma', 'Dufourea', 'Callosobruchus', 'Acromyrmex', 'Culex', 'Ooceraea', 'Aceria', 'Leptinotarsa', 'Trachymyrmex', 'Leptidea', 'Chilo', 'Scaptodrosophila', 'Aphidius', 'Temnothorax', 'Trichoplusia', 'Habropoda', 'Apis', 'Pogonomyrmex', 'Heterotrigona', 'Megaselia', 'Heliothis', 'Operophtera', 'Rhynchophorus', 'Musca', 'Folsomia', 'Frieseomelitta', 'Lutzomyia', 'Vespula', 'Tigriopus', 'Cyphomyrmex', 'Fopius', 'Panstrongylus', 'Melipona', 'Lasius', 'Trichomalopsis', 'Harpegnathos', 'Zeugodacus', 'Manduca', 'Microplitis', 'Hyalophora', 'Choristoneura', 'Schizaphis', 'Sipha', 'Abscondita', 'Cancer', 'Nesidiocoris', 'Melanaphis', 'Lepeophtheirus', 'Amphibalanus', 'Myzus', 'Lonomia', 'Antheraea', 'Homarus', 'Parasacculina', 'Galeruca', 'Diaphorina', 'Helicoverpa', 'Hirondellea', 'Portunus', 'Armadillidium', 'Oryctes', 'Pseudoatta', 'Cyprideis', 'Dinoponera', 'Camponotus', 'Hyalella', 'Acyrthosiphon', 'Penaeus', 'Blaberus', 'Araneus']","cuticle protein (0.00, 100, insect)"
Mp24,11,3,4,3,1,"['Cinara', 'Acyrthosiphon', 'unclassified']","lipoprotein (Google) containing coiled coil or OmpH domain,  uncharacterized protein (0.00, 2, aphid)"
Mp28,0,0,0,0,0,None,None
Mp29,1180,1136,13,31,0,"['Operophtera', 'Cryptotermes', 'Anopheles', 'Trachymyrmex', 'Galleria', 'Hermetia', 'Asbolus', 'Drosophila', 'Oncopeltus', 'Lygus', 'Coptotermes', 'Rhodnius', 'Bombyx', 'Vespula', 'Cuerna', 'Solenopsis', 'Laodelphax', 'Apis', 'Cyprideis', 'Nyssomyia', 'Graphocephala', 'Fopius', 'Bombus', 'Sitophilus', 'Ixodes', 'Oryctes', 'Sarcoptes', 'Darwinula', 'Cimex', 'Pieris', 'Varroa', 'Tigriopus', 'Amblyomma', 'Dermatophagoides', 'Liphistius', 'Heterotrigona', 'Acyrthosiphon', 'Notodromas', 'Penaeus', 'Aceria', 'Lepeophtheirus', 'Leptotrombidium', 'Parasteatoda', 'Pediculus', 'Frieseomelitta', 'Stegodyphus', 'Araneus', 'Clonorchis', 'Crassostrea', 'Dinothrombium', 'Mizuhopecten', 'Bugula', 'Mytilus', 'Octopus', 'Lottia', 'Capitella', 'Arion', 'Echinococcus', 'Schistosoma', 'Lingula', 'Elysia', 'Camponotus', 'Rotaria', 'Mesocestoides', 'Rodentolepis', 'Brachionus', 'Macrostomum', 'Plutella', 'Sepia', 'Culicoides', 'Didymodactylos', 'Helobdella', 'Spirometra', 'Rhynchophorus', 'Eufriesea', 'Melipona', 'Triatoma', 'Euroglyphus', 'Clastoptera', 'Ramazzottius', 'Acromyrmex', 'Papilio', 'Zootermopsis', 'Heliothis', 'Abscondita', 'Strigamia', 'Trichomalopsis', 'Clunio', 'Oppiella', 'Sipha', 'Trichogramma', 'Corethrella', 'Ephemera', 'Amphibalanus', 'Lutzomyia', 'Spodoptera', 'Nasonia', 'Medioppia', 'Diabrotica', 'Danaus', 'Thrips', 'Neodiprion', 'Helicoverpa', 'Bicyclus', 'Glossina', 'Portunus', 'Daphnia', 'Locusta', 'Trichobilharzia', 'Agrilus', 'Timema', 'Dendroctonus', 'Dinoponera', 'Aphidius', 'Diaphorina', 'Dimorphilus', 'Schistocephalus', 'Musca', 'Aedes', 'Opisthorchis', 'Bactrocera', 'Trichoplusia', 'Pristhesancus', 'Rhipicephalus', 'Ornithodoros', 'Paragonimus', 'Ceratitis', 'Leptidea', 'Apolygus', 'Hypsibius', 'Tribolium', 'Xenopsylla', 'Blattella', 'Chilo', 'Frankliniella', 'Megaselia', 'Tetranychus', 'Armadillidium', 'Orchesella', 'Lamprigera', 'Scaptodrosophila', 'Atta', 'Biomphalaria', 'Hottentotta', 'Aphis', 'Culex', 'Cinara', 'Toxocara', 'Meloidogyne', 'Trichuris', 'Pararge', 'Phlebotomus', 'Nesidiocoris', 'Photinus', 'Fasciola', 'Pomacea', 'Hymenolepis', 'Adineta', 'Hyalella', 'Schmidtea', 'Ancylostoma', 'Lucilia', 'Branchiostoma', 'Folsomia', 'Strongyloides', 'Caenorhabditis', 'Ooceraea', 'Eumeta', 'Callosobruchus', 'Wuchereria', 'Ethmostigmus', 'Scolopendra', 'Soboliphyme', 'Dracunculus', 'Apostichopus', 'Stomoxys', 'Sparganum', 'Deinopis', 'Dibothriocephalus', 'Strongylocentrotus', 'Takifugu', 'Trichinella', 'Syphacia', 'Argulus', 'Homalodisca', 'Panagrellus', 'Gongylonema', 'Brugia', 'Onchocerca', 'Parastrongyloides', 'Halicephalobus', 'Bursaphelenchus', 'Hydatigera', 'Salarias', 'Taenia', 'Steinernema', 'Harpegnathos', 'Rattus', 'Acartia', 'Pantherophis', 'Pristionchus', 'Anabas', 'Homo', 'Mus', 'Rhabditophanes', 'Habropoda', 'Ascaris', 'Loa', 'Oryzias', 'Lithobates', 'Temnothorax', 'Chlorocebus', 'Channa', 'Chelonia', 'Dictyocaulus', 'Esox', 'Pundamilia', 'Tropilaelaps', 'Geotrypetes', 'Gallus', 'Diceros', 'Necator', 'Actinia', 'Heligmosomoides', 'Oreochromis', 'Acanthocheilonema', 'Cricetulus', 'Alligator', 'Ictalurus', 'Microcaecilia', 'Ichthyosaura', 'Danio', 'Angiostrongylus', 'Loxodonta', 'Saimiri', 'Xenopus', 'Ambystoma', 'Pan', 'Macaca', 'Ophiophagus', 'Oryctolagus', 'Camelus', 'Naja', 'Bos']","Protein quiver (0.00, 100, insect)"
Mp30,1139,1123,0,16,0,"['Aphis', 'Cinara', 'Rhodnius', 'Asbolus', 'Aedes', 'Timema', 'Triatoma', 'Oncopeltus', 'Blattella', 'Ephemera', 'Lygus', 'Culicoides', 'Apolygus', 'Pieris', 'Laodelphax', 'Tribolium', 'Locusta', 'Cimex', 'Agrilus', 'Danaus', 'Thrips', 'Papilio', 'Diabrotica', 'Stomoxys', 'Schistocerca', 'Anopheles', 'Zootermopsis', 'Coptotermes', 'Callosobruchus', 'Megaselia', 'Leptinotarsa', 'Phlebotomus', 'Pediculus', 'Clunio', 'Nilaparvata', 'Hermetia', 'Galleria', 'Bombyx', 'Glossina', 'Chilo', 'Bactrocera', 'Dendroctonus', 'Frankliniella', 'Diaphorina', 'Spodoptera', 'Solenopsis', 'Drosophila', 'Clastoptera', 'Eufriesea', 'Nyssomyia', 'Culex', 'Trichoplusia', 'Cuerna', 'Sitophilus', 'Plutella', 'Homalodisca', 'Ceratitis', 'Lucilia', 'Leptidea', 'Abscondita', 'Scaptodrosophila', 'Graphocephala', 'Anthurium', 'Apis', 'Microplitis', 'Cryptotermes', 'Dufourea', 'Nasonia', 'Trichogramma', 'Pogonomyrmex', 'Rhynchophorus', 'Bicyclus', 'Eumeta', 'Cyphomyrmex', 'Orchesella', 'Fopius', 'Trichomalopsis', 'Musca', 'Lasius', 'Heliothis', 'Vespula', 'Neodiprion', 'Temnothorax', 'Ooceraea', 'Acromyrmex', 'Aphidius', 'Habropoda', 'Daphnia', 'Trachymyrmex', 'Operophtera', 'Oryctes', 'Panstrongylus', 'Frieseomelitta', 'Lamprigera', 'Xenopsylla', 'Photinus', 'Aceria', 'Harpegnathos', 'Camponotus', 'Melipona', 'Nesidiocoris', 'Bracon', 'Heterotrigona', 'Acyrthosiphon', 'Galeruca', 'Folsomia', 'Argulus', 'Atta', 'Lutzomyia', 'Pectinophora', 'Pseudoatta', 'Dinoponera', 'Amphibalanus', 'Manduca', 'Penaeus', 'Apriona', 'Hyalophora', 'Bombus', 'Tigriopus', 'Lepeophtheirus', 'Schizaphis', 'Notodromas', 'Sipha', 'Parasacculina', 'Melanaphis', 'Cancer', 'Zeugodacus', 'Helicoverpa', 'Caligus', 'Cyprideis', 'Macrobrachium', 'Hyalella', 'Portunus', 'Lonomia', 'Homarus', 'Araneus', 'Blaberus']","cuticle protein (0.00, 100, insect)"
Mp31,2,2,0,0,0,"['Aphis', 'Sipha']","uncharacterized protein (0.00, 2, aphid)"
Mp32,8,7,0,1,0,"['Acyrthosiphon', 'Aphis', 'Oncorhynchus', 'Symbiodinium', 'Thermoflexibacter', 'Deltaproteobacteria', 'Gemmatimonadetes']","DUF148 domain-containing protein (Google), uncharacterized protein (0.00, 2 aphid) ; various (0.05, 5, not insect)"
Mp33,1,1,0,0,0,['Sipha'],"Merozoite surface protein 1 (Google) containing coiled coil domain (0.00, 1, aphid)"
Mp35,0,0,0,0,0,None,None
Mp36,0,0,0,0,0,None,None
Mp37,0,0,0,0,0,None,None
Mp38,1,1,0,0,0,['Phlebotomus'],"Enhancer of mRNA-decapping protein (Google) (0.1, 1, insect)"
Mp39,0,0,0,0,0,None,None
Mp40,1,1,0,0,0,['Cinara'],"Uncharacterized protein (0.00, 1, aphid)"
Mp41,324,310,13,1,0,"['Sipha', 'Pterocomma', 'Bemisia', 'Diaphorina', 'Laodelphax', 'Lygus', 'Abscondita', 'Asbolus', 'Yemma', 'Helopeltis', 'Tribolium', 'Cimex', 'Thrips', 'Frankliniella', 'Diabrotica', 'Euschistus', 'Bombyx', 'Oryctes', 'Rhynchophorus', 'Operophtera', 'Aedes', 'Spodoptera', 'Reticulitermes', 'Pediculus', 'Anopheles', 'Ephemera', 'Culex', 'Culicoides', 'Ceratitis', 'Bactrocera', 'Hermetia', 'Drosophila', 'Glossina', 'Danaus', 'Oncopeltus', 'Triatoma', 'Papilio', 'Agrilus', 'Coptotermes', 'Musca', 'Plutella', 'Zeugodacus', 'Leptidea', 'Dastarcus', 'Lamprigera', 'Schistocerca', 'Lutzomyia', 'Trichomalopsis', 'Atta', 'Eufriesea', 'Propsilocerus', 'Sitophilus', 'Nasonia', 'Ooceraea', 'Conopomorpha', 'Dufourea', 'Clunio', 'Neodiprion', 'Bicyclus', 'Cryptotermes', 'Mythimna', 'Apis', 'Cephus', 'Lucilia', 'Pseudoatta', 'Bombus', 'Heortia', 'Folsomia', 'Cnaphalocrocis', 'Aulacocentrum', 'Stomoxys', 'Conogethes', 'Homalodisca', 'Graphocephala', 'Chilo', 'Chrysoperla', 'Ectropis', 'Matsumurasca', 'Anoplophora', 'Megaselia', 'Melipona', 'Athetis', 'Trachymyrmex', 'Orchesella', 'Halyomorpha', 'Timema', 'Semiothisa', 'Nezara', 'Dendrolimus', 'Apolygus', 'Meteorus', 'Blattella', 'Cylas', 'Photinus', 'Zootermopsis', 'Episyrphus', 'Anastrepha', 'Anomala', 'Rhyzopertha', 'Daktulosphaira', 'Cyrtorhinus', 'Temnothorax', 'Helicoverpa', 'Adelphocoris', 'Delia', 'Galeruca', 'Vespula', 'Aphis', 'Scaptodrosophila', 'Pieris', 'Monochamus', 'Harpegnathos', 'Rhodnius', 'Calliphora', 'Rhyparobia', 'Acromyrmex', 'Carposina', 'Epiphyas', 'Callosobruchus', 'Cuerna', 'Dendroctonus', 'Nilaparvata', 'Chrysomela', 'Bradysia', 'Tropidothorax', 'Phlebotomus', 'Schizaphis', 'Aphidius', 'Antheraea', 'Diachasma', 'Fopius', 'Agrotis', 'Heliothis', 'Streltzoviella', 'Varroa', 'Locusta', 'Amyelois', 'Manduca', 'Colaphellus']","Pheromone/general odorant binding (0.00, 100, insect)"
Mp42,0,0,0,0,0,None,None
Mp43,229,176,30,22,1,"['Cinara', 'Armadillidium', 'Portunus', 'Drosophila', 'Scylla', 'Anopheles', 'Frankliniella', 'Danaus', 'Hirondellea', 'Thrips', 'Triatoma', 'Chilo', 'Bactrocera', 'Darwinula', 'Glossina', 'Daphnia', 'Lepeophtheirus', 'Homalodisca', 'Orchesella', 'Zeugodacus', 'Xenopsylla', 'Timema', 'Notodromas', 'Eumeta', 'Sitophilus', 'Spodoptera', 'Papilio', 'Diaphorina', 'Cyprideis', 'Laodelphax', 'Parasteatoda', 'Dermatophagoides', 'Ixodes', 'Araneus', 'Strongyloides', 'Euroglyphus', 'Strigamia', 'Brugia', 'Loa', 'Ornithodoros', 'Litomosoides', 'Sarcoptes', 'Dracunculus', 'Dinothrombium', 'Hypsibius', 'Ascaris', 'Nyssomyia', 'Crassostrea', 'Saccoglossus', 'Necator', 'Lutzomyia', 'Haemonchus', 'Ramazzottius', 'Enterobius', 'Caenorhabditis', 'Wuchereria', 'Graphocephala', 'Arion', 'Lygus', 'Lingula', 'Steinernema', 'Mus', 'Mizuhopecten', 'Heligmosomoides', 'Pongo', 'Rattus', 'Pogonomyrmex', 'Homo', 'Trachymyrmex', 'Callosobruchus', 'Meloidogyne', 'Bursaphelenchus', 'Biomphalaria', 'Strongylocentrotus', 'Rotaria', 'Nasonia', 'Solenopsis', 'Sepia', 'Dinoponera', 'Actinia', 'Pocillopora', 'Brachionus', 'Apolygus', 'Dendroctonus', 'Tigriopus', 'Rhynchophorus', 'Rhodnius', 'Ailuropoda', 'Cimex', 'Folsomia', 'Suricata', 'Zootermopsis', 'Ciona', 'Photinus', 'Branchiostoma', 'Lucilia', 'Diabrotica', 'Syphacia', 'Apostichopus', 'Phlebotomus', 'Dimorphilus', 'Lobosporangium', 'Culex', 'Fundulus', 'Octopus', 'Batrachochytrium', 'Capitella', 'Marchantia', 'Medioppia', 'Chanos', 'Neomonachus', 'Haptolina', 'Symbiodinium', 'Tieghemostelium', 'Hermetia', 'Plasmodium', 'Oryctolagus', 'Cannabis', 'Candida', 'Ephemera', 'Calcidiscus', 'Aspergillus', 'Cuerna', 'Chrysochromulina', 'unclassified', 'Gallus']","protein containing EF-hand domain (0.00, 100, insect)"
Mp44,0,0,0,0,0,None,None
Mp45,0,0,0,0,0,None,None
