,genus,genus_count,effector_count,effectors
790,Cryptotermes,107,26,"4, 10, 11, 12, 15, 17, 23, 29, 30, 32, 41, 46, 50, 65, 73, 76, 77, 78, 79, 81, 85, 90, 91, 93, 95, 100"
346,Methanocaldococcus,104,19,"1, 4, 24, 32, 41, 57, 64, 66, 70, 73, 76, 79, 81, 85, 90, 92, 94, 95, 100"
1133,Rhynchophorus,104,26,"7, 10, 11, 12, 17, 22, 23, 24, 29, 30, 38, 41, 43, 46, 50, 57, 70, 73, 77, 78, 79, 90, 91, 92, 93, 95"
1164,Laodelphax,103,24,"10, 11, 12, 17, 22, 23, 29, 30, 41, 43, 46, 50, 58, 66, 73, 76, 77, 78, 79, 90, 91, 93, 94, 95"
472,Rhodococcus,102,18,"1, 4, 15, 21, 24, 38, 57, 66, 70, 73, 76, 81, 85, 92, 93, 94, 95, 100"
226,Brucella,100,18,"1, 11, 15, 24, 38, 41, 57, 58, 66, 70, 73, 76, 79, 81, 85, 90, 95, 100"
203,Trichinella,99,23,"1, 7, 22, 24, 29, 32, 38, 40, 46, 50, 57, 58, 65, 70, 76, 77, 78, 79, 81, 92, 93, 94, 100"
112,Bifidobacterium,99,13,"1, 32, 38, 40, 57, 66, 70, 76, 79, 81, 85, 92, 94"
58,bacterium,98,20,"1, 10, 11, 15, 17, 19, 24, 32, 38, 43, 57, 58, 65, 66, 70, 78, 79, 81, 85, 92"
42,marine,98,23,"1, 4, 11, 15, 22, 24, 32, 38, 40, 57, 58, 65, 66, 70, 73, 76, 79, 81, 85, 90, 92, 95, 100"
1095,Tigriopus,97,27,"7, 11, 15, 17, 22, 23, 24, 29, 30, 38, 41, 43, 46, 50, 65, 70, 73, 76, 77, 78, 79, 81, 90, 92, 93, 94, 95"
1079,Pieris,96,21,"7, 10, 11, 12, 15, 17, 23, 29, 30, 41, 46, 50, 73, 76, 77, 78, 90, 91, 93, 94, 95"
33,Rickettsia,96,15,"1, 7, 11, 12, 23, 57, 58, 66, 73, 76, 85, 90, 93, 95, 100"
743,Cellvibrio,94,12,"1, 30, 57, 58, 66, 70, 76, 81, 85, 92, 94, 100"
15,Deinococcus,94,19,"1, 4, 15, 29, 38, 57, 65, 66, 70, 73, 76, 79, 81, 85, 92, 93, 94, 95, 100"
127,Ovis,92,20,"1, 7, 11, 29, 38, 46, 50, 57, 65, 66, 70, 76, 77, 78, 81, 85, 92, 93, 94, 100"
986,Medioppia,92,23,"7, 11, 15, 22, 29, 41, 43, 46, 50, 57, 65, 66, 70, 73, 76, 77, 78, 85, 90, 91, 92, 93, 95"
1047,Sitophilus,92,22,"7, 10, 11, 12, 17, 23, 29, 30, 38, 41, 43, 46, 50, 73, 76, 77, 78, 79, 90, 91, 93, 95"
1502,Rhizobium,92,19,"15, 23, 30, 32, 38, 41, 57, 58, 66, 72, 73, 76, 81, 85, 90, 92, 94, 95, 100"
221,Firmicutes,92,20,"1, 7, 15, 22, 24, 32, 38, 40, 57, 58, 64, 66, 70, 79, 81, 85, 92, 93, 94, 100"
462,Branchiostoma,91,22,"1, 7, 11, 16, 29, 32, 43, 46, 50, 57, 65, 76, 77, 78, 79, 81, 82, 85, 90, 93, 94, 100"
71,Planctomycetota,90,23,"1, 11, 14, 15, 24, 32, 38, 41, 42, 57, 58, 66, 70, 74, 77, 78, 79, 81, 85, 91, 92, 94, 100"
765,Acinetobacter,90,23,"1, 7, 11, 15, 24, 30, 32, 41, 46, 50, 57, 58, 65, 66, 70, 73, 85, 90, 92, 93, 94, 95, 100"
1142,Rhipicephalus,89,22,"7, 11, 15, 29, 32, 41, 46, 50, 65, 66, 73, 76, 77, 78, 81, 85, 90, 91, 92, 93, 95, 100"
257,Enterococcus,89,23,"1, 4, 11, 15, 21, 24, 32, 50, 57, 65, 66, 70, 73, 76, 77, 79, 81, 85, 92, 93, 94, 95, 100"
79,Pyrococcus,88,21,"1, 11, 30, 32, 38, 40, 46, 57, 58, 64, 66, 70, 73, 76, 77, 81, 85, 92, 93, 94, 95"
303,Lingula,87,23,"1, 7, 11, 15, 20, 29, 32, 38, 43, 46, 50, 58, 65, 73, 76, 77, 78, 81, 90, 93, 94, 95, 100"
999,Phlebotomus,87,29,"7, 10, 11, 12, 17, 22, 23, 29, 30, 38, 41, 43, 46, 50, 57, 65, 70, 73, 76, 77, 78, 79, 81, 85, 90, 91, 93, 94, 95"
1093,Coptotermes,87,29,"7, 10, 11, 12, 15, 17, 21, 22, 23, 29, 30, 41, 43, 46, 50, 57, 65, 73, 76, 77, 78, 79, 81, 85, 90, 91, 93, 94, 95"
26,candidate,86,19,"1, 4, 15, 21, 22, 24, 38, 40, 57, 58, 65, 66, 70, 76, 79, 81, 85, 92, 94"
989,Cimex,86,19,"7, 10, 11, 12, 17, 23, 29, 30, 41, 43, 46, 50, 73, 77, 79, 91, 93, 94, 95"
717,Brachionus,85,22,"1, 4, 7, 11, 15, 24, 29, 32, 38, 43, 46, 57, 58, 66, 70, 76, 77, 78, 79, 81, 94, 100"
1085,Trichoplusia,85,22,"7, 10, 11, 12, 15, 17, 23, 29, 30, 41, 46, 50, 73, 76, 77, 78, 81, 85, 90, 91, 93, 95"
1165,Vespula,83,23,"10, 11, 12, 17, 22, 23, 29, 30, 41, 43, 46, 50, 66, 73, 76, 77, 78, 79, 90, 91, 92, 94, 95"
1256,Musca,83,21,"10, 11, 12, 17, 23, 29, 30, 41, 46, 50, 57, 70, 73, 77, 78, 79, 90, 91, 93, 94, 95"
780,Leptidea,83,21,"4, 10, 11, 12, 17, 23, 29, 30, 41, 57, 73, 76, 77, 78, 79, 81, 90, 91, 93, 94, 95"
1082,Galleria,82,20,"7, 10, 11, 12, 17, 23, 29, 30, 41, 46, 50, 73, 76, 77, 78, 79, 90, 91, 93, 95"
801,Trachymyrmex,81,24,"4, 7, 10, 11, 12, 21, 23, 29, 30, 41, 43, 46, 50, 55, 64, 73, 76, 77, 78, 90, 91, 93, 94, 95"
669,Symbiodinium,81,20,"1, 11, 15, 21, 22, 24, 32, 38, 40, 43, 57, 58, 65, 76, 79, 90, 91, 94, 95, 100"
1175,Aphidius,81,25,"10, 11, 12, 15, 17, 23, 24, 29, 30, 32, 41, 46, 50, 57, 70, 73, 77, 78, 81, 85, 90, 91, 92, 93, 95"
496,Francisella,81,17,"1, 11, 15, 24, 57, 58, 64, 66, 73, 76, 85, 90, 92, 93, 94, 95, 100"
1261,Ostrinia,80,12,"10, 41, 57, 66, 70, 76, 81, 85, 90, 92, 93, 94"
73,Gammaproteobacteria,80,23,"1, 4, 11, 15, 21, 24, 32, 38, 41, 57, 58, 66, 70, 73, 76, 78, 79, 85, 90, 92, 94, 95, 100"
1282,Armadillidium,80,23,"11, 12, 21, 22, 23, 29, 32, 41, 43, 46, 50, 65, 70, 73, 76, 77, 78, 79, 81, 90, 93, 94, 95"
63,Chlamydomonas,80,28,"1, 4, 11, 15, 21, 22, 24, 32, 35, 38, 39, 42, 43, 50, 57, 58, 65, 66, 73, 76, 79, 81, 85, 90, 92, 94, 95, 100"
402,Darwinula,80,23,"1, 7, 11, 15, 17, 22, 29, 38, 43, 46, 50, 65, 73, 76, 77, 78, 79, 81, 90, 91, 93, 94, 95"
93,Gossypium,79,16,"1, 4, 15, 21, 22, 32, 38, 46, 58, 66, 76, 79, 81, 85, 92, 100"
1089,Heliothis,78,23,"7, 10, 12, 17, 23, 29, 30, 32, 41, 46, 50, 57, 70, 73, 76, 77, 78, 79, 85, 91, 93, 94, 95"
988,Oppiella,78,22,"7, 11, 22, 29, 41, 46, 50, 57, 58, 65, 70, 73, 76, 77, 78, 81, 90, 91, 92, 93, 95, 100"
132,Ancylostoma,76,23,"1, 7, 21, 22, 29, 32, 38, 39, 43, 46, 50, 65, 70, 74, 76, 77, 78, 79, 81, 91, 92, 93, 100"
2112,Listeria,76,14,"29, 57, 58, 66, 73, 76, 79, 81, 85, 90, 92, 94, 95, 100"
465,Magnetospirillum,75,13,"1, 24, 57, 58, 66, 70, 73, 77, 85, 92, 94, 95, 100"
403,Prochlorococcus,74,18,"1, 11, 15, 21, 24, 30, 38, 57, 66, 70, 73, 76, 77, 81, 85, 92, 94, 100"
235,Bradyrhizobium,74,24,"1, 7, 11, 14, 15, 17, 24, 38, 40, 57, 58, 65, 66, 70, 73, 76, 81, 85, 90, 92, 93, 94, 95, 100"
1013,Operophtera,72,18,"7, 10, 11, 12, 17, 23, 29, 30, 41, 46, 73, 76, 77, 78, 90, 91, 93, 95"
146,Mesorhizobium,72,21,"1, 4, 15, 22, 24, 30, 32, 38, 41, 57, 58, 65, 66, 73, 76, 81, 85, 90, 94, 95, 100"
85,Macaca,72,23,"1, 7, 11, 12, 29, 32, 38, 46, 50, 55, 58, 65, 66, 70, 73, 78, 79, 81, 90, 91, 93, 94, 100"
933,Pediculus,72,21,"7, 10, 11, 12, 17, 22, 23, 29, 30, 32, 41, 46, 50, 73, 76, 77, 78, 90, 91, 93, 95"
2669,Niallia,71,6,"57, 70, 76, 79, 85, 94"
490,Tetranychus,71,20,"1, 7, 11, 15, 17, 29, 40, 41, 46, 50, 55, 73, 76, 77, 78, 81, 90, 91, 95, 100"
913,Apis,71,22,"7, 10, 11, 12, 17, 22, 23, 29, 30, 41, 46, 50, 73, 76, 77, 78, 79, 90, 91, 93, 94, 95"
1108,Lucilia,71,25,"7, 10, 11, 12, 17, 21, 23, 29, 30, 41, 43, 46, 50, 57, 66, 70, 73, 76, 77, 78, 90, 91, 93, 94, 95"
621,Sinocyclocheilus,70,22,"1, 4, 7, 29, 32, 38, 46, 50, 58, 64, 65, 66, 76, 77, 78, 79, 81, 85, 91, 92, 93, 94"
745,Dinothrombium,70,22,"1, 7, 22, 29, 41, 43, 46, 50, 55, 57, 66, 70, 73, 76, 77, 78, 81, 90, 91, 92, 95, 100"
1186,Fopius,69,21,"10, 11, 12, 17, 23, 29, 30, 32, 41, 46, 50, 73, 76, 77, 78, 79, 81, 90, 91, 93, 94"
341,Paraburkholderia,69,22,"1, 4, 11, 15, 21, 24, 32, 38, 57, 58, 66, 70, 73, 76, 79, 81, 85, 90, 92, 94, 95, 100"
1109,Nasonia,68,27,"7, 10, 11, 12, 17, 21, 22, 23, 29, 30, 32, 41, 43, 46, 50, 55, 57, 73, 76, 77, 78, 81, 90, 91, 93, 94, 95"
1130,Zootermopsis,68,21,"7, 10, 11, 12, 17, 22, 23, 29, 30, 41, 43, 50, 73, 76, 77, 78, 79, 91, 93, 94, 95"
111,Aquifex,68,20,"1, 11, 15, 24, 32, 46, 57, 58, 66, 70, 73, 76, 77, 81, 85, 90, 92, 93, 94, 100"
1190,Neodiprion,67,19,"10, 11, 12, 17, 22, 23, 29, 30, 41, 46, 50, 73, 76, 77, 78, 91, 93, 94, 95"
727,Trichogramma,67,23,"1, 7, 10, 11, 12, 17, 23, 29, 30, 43, 46, 50, 55, 57, 73, 76, 77, 78, 81, 91, 93, 94, 95"
1043,Ceratitis,67,24,"7, 10, 11, 12, 17, 23, 29, 30, 32, 41, 46, 50, 57, 70, 73, 76, 77, 78, 90, 91, 92, 93, 94, 95"
3001,Phanerodontia,66,5,"66, 70, 73, 90, 95"
51,Leptospira,66,18,"1, 11, 15, 19, 24, 32, 42, 57, 58, 70, 73, 81, 82, 90, 92, 93, 94, 100"
516,Oryctes,66,24,"1, 7, 10, 11, 12, 15, 17, 23, 24, 29, 30, 41, 46, 50, 57, 70, 73, 76, 77, 79, 90, 91, 93, 95"
938,Acromyrmex,65,21,"7, 10, 11, 12, 17, 22, 23, 29, 30, 32, 41, 46, 50, 73, 76, 77, 78, 91, 93, 94, 95"
1112,Stomoxys,65,20,"7, 10, 11, 12, 17, 23, 29, 30, 32, 41, 46, 50, 57, 70, 76, 77, 78, 90, 91, 92"
368,Nostoc,65,20,"1, 15, 24, 32, 38, 50, 57, 58, 66, 70, 73, 77, 79, 81, 85, 90, 91, 92, 94, 100"
216,Actinomycetia,65,21,"1, 4, 11, 15, 21, 24, 32, 40, 41, 57, 60, 66, 70, 73, 81, 82, 85, 92, 94, 95, 100"
116,Strigamia,64,20,"1, 7, 11, 17, 19, 22, 29, 38, 41, 43, 46, 50, 65, 73, 77, 78, 90, 91, 95, 100"
904,Mizuhopecten,64,21,"7, 11, 15, 29, 43, 50, 58, 65, 70, 73, 74, 76, 77, 78, 79, 81, 92, 93, 94, 95, 100"
895,Canis,63,14,"7, 11, 24, 46, 50, 58, 77, 78, 79, 81, 91, 92, 93, 94"
1086,Hirondellea,63,20,"7, 11, 17, 23, 32, 43, 46, 50, 58, 65, 70, 73, 76, 77, 78, 79, 81, 90, 93, 95"
935,Amblyomma,63,19,"7, 15, 22, 24, 29, 41, 46, 50, 65, 70, 73, 76, 77, 78, 81, 90, 91, 95, 100"
381,Clostridiales,62,16,"1, 4, 24, 38, 40, 57, 58, 65, 66, 70, 79, 81, 85, 92, 94, 100"
238,Pongo,62,23,"1, 7, 11, 21, 24, 30, 32, 43, 46, 50, 58, 65, 70, 73, 76, 78, 79, 81, 90, 92, 93, 94, 100"
301,Sinorhizobium,62,16,"1, 15, 57, 58, 66, 70, 73, 76, 79, 85, 90, 92, 93, 94, 95, 100"
1235,Lutzomyia,62,26,"10, 11, 12, 15, 17, 23, 29, 30, 38, 41, 43, 46, 50, 57, 70, 73, 76, 77, 78, 81, 90, 91, 92, 93, 94, 95"
1291,Ramazzottius,62,17,"11, 22, 24, 29, 32, 38, 43, 46, 50, 73, 76, 77, 78, 79, 92, 93, 94"
103,Arthrobacter,61,14,"1, 17, 24, 32, 38, 57, 66, 73, 76, 79, 85, 92, 94, 95"
906,Octopus,60,19,"7, 29, 32, 38, 43, 46, 50, 55, 58, 65, 76, 77, 78, 81, 90, 92, 93, 94, 100"
573,Dermatophagoides,60,25,"1, 7, 11, 12, 22, 24, 29, 41, 43, 50, 57, 65, 66, 70, 73, 76, 77, 78, 79, 81, 91, 92, 93, 95, 100"
233,Solanum,60,17,"1, 11, 15, 21, 22, 29, 38, 46, 57, 66, 70, 76, 81, 85, 90, 92, 94"
784,Meloidogyne,59,23,"4, 7, 19, 21, 24, 29, 43, 46, 50, 57, 58, 65, 73, 76, 77, 78, 79, 81, 85, 91, 92, 95, 100"
1059,Pseudoalteromonas,59,20,"7, 11, 15, 24, 32, 38, 57, 58, 66, 70, 76, 77, 79, 81, 85, 90, 92, 93, 94, 100"
393,Sarcoptes,59,19,"1, 7, 22, 29, 32, 41, 43, 46, 50, 65, 73, 76, 77, 78, 90, 91, 93, 95, 100"
888,Paramuricea,59,14,"7, 24, 32, 38, 43, 46, 50, 58, 64, 66, 77, 78, 79, 93"
557,[Candida],58,16,"1, 7, 24, 57, 58, 64, 66, 73, 76, 79, 81, 85, 90, 92, 94, 95"
995,Notodromas,58,23,"7, 11, 17, 22, 29, 30, 43, 46, 50, 58, 65, 73, 76, 77, 78, 79, 81, 90, 91, 93, 94, 95, 100"
923,Crassostrea,58,18,"7, 11, 29, 32, 43, 46, 50, 65, 73, 76, 77, 78, 81, 90, 93, 94, 95, 100"
185,Phytophthora,57,17,"1, 14, 15, 21, 32, 38, 43, 50, 55, 65, 66, 73, 79, 81, 90, 92, 100"
1740,Agrobacterium,57,16,"15, 40, 57, 58, 66, 70, 73, 79, 81, 85, 90, 92, 93, 94, 95, 100"
1002,Ooceraea,56,18,"7, 10, 11, 12, 17, 23, 29, 30, 41, 46, 50, 73, 77, 78, 90, 91, 93, 95"
317,Toxocara,56,17,"1, 7, 24, 29, 46, 50, 57, 65, 70, 77, 78, 79, 91, 92, 93, 95, 100"
1225,Nesidiocoris,56,20,"10, 11, 12, 17, 22, 23, 29, 30, 46, 50, 65, 73, 74, 76, 77, 78, 79, 91, 93, 95"
946,Ornithodoros,56,23,"7, 11, 24, 29, 38, 41, 43, 46, 50, 58, 64, 65, 73, 76, 77, 78, 81, 90, 91, 92, 93, 95, 100"
445,Steinernema,55,21,"1, 4, 7, 29, 38, 43, 46, 50, 57, 58, 65, 70, 73, 76, 77, 78, 79, 91, 93, 95, 100"
1804,Penicillium,55,20,"21, 23, 24, 30, 32, 46, 55, 57, 66, 70, 73, 76, 81, 85, 90, 92, 93, 94, 95, 100"
386,Lottia,54,18,"1, 7, 11, 29, 38, 43, 46, 50, 58, 65, 73, 76, 77, 78, 81, 93, 94, 100"
145,Verrucomicrobia,54,17,"1, 7, 11, 15, 24, 32, 41, 57, 58, 66, 70, 74, 81, 85, 92, 94, 100"
90,Puccinia,54,15,"1, 4, 24, 32, 38, 43, 57, 58, 65, 66, 70, 73, 74, 76, 90"
934,Aceria,54,23,"7, 10, 11, 12, 17, 22, 23, 29, 30, 41, 43, 46, 50, 65, 73, 76, 77, 78, 91, 93, 94, 95, 100"
72,Legionella,54,17,"1, 11, 32, 38, 41, 57, 58, 65, 66, 70, 73, 76, 85, 90, 91, 94, 100"
1734,Prunus,53,15,"15, 24, 38, 57, 58, 66, 70, 73, 76, 79, 85, 90, 92, 95, 100"
876,Capitella,53,24,"7, 11, 15, 29, 32, 38, 43, 46, 50, 65, 70, 73, 76, 77, 78, 79, 81, 85, 90, 92, 93, 94, 95, 100"
141,Gemmatimonadetes,53,12,"1, 15, 24, 32, 57, 58, 66, 70, 76, 81, 85, 92"
1779,Leptinotarsa,52,5,"17, 23, 30, 90, 93"
1090,Locusta,52,14,"7, 10, 12, 17, 23, 29, 30, 41, 77, 78, 79, 90, 91, 93"
149,Bordetella,52,17,"1, 10, 11, 32, 57, 58, 64, 66, 70, 73, 76, 81, 85, 90, 94, 95, 100"
1180,Triatoma,52,19,"10, 11, 12, 17, 23, 29, 30, 32, 41, 43, 46, 57, 73, 77, 78, 79, 81, 91, 95"
423,Acetivibrio,52,15,"1, 15, 23, 24, 30, 38, 57, 58, 66, 70, 79, 81, 85, 92, 94"
135,Alphaproteobacteria,52,19,"1, 15, 24, 32, 38, 41, 43, 57, 58, 70, 73, 77, 78, 81, 90, 92, 94, 95, 100"
902,Cyprideis,52,21,"7, 11, 17, 22, 23, 29, 30, 41, 43, 46, 50, 65, 73, 76, 77, 78, 79, 81, 90, 93, 95"
548,Biomphalaria,51,23,"1, 7, 15, 24, 29, 32, 43, 46, 50, 57, 65, 66, 70, 73, 76, 77, 78, 81, 92, 93, 94, 95, 100"
814,Flavobacterium,51,14,"4, 11, 15, 24, 29, 38, 58, 66, 70, 76, 81, 85, 92, 94"
1060,Hypsibius,51,16,"7, 11, 22, 24, 29, 43, 46, 50, 57, 77, 78, 81, 90, 92, 93, 100"
450,Bursaphelenchus,51,16,"1, 7, 29, 32, 43, 46, 50, 57, 65, 70, 76, 77, 78, 79, 93, 100"
1341,Cereibacter,50,15,"11, 24, 30, 39, 57, 66, 70, 73, 77, 85, 90, 92, 93, 94, 100"
1953,Colletotrichum,50,16,"24, 32, 38, 46, 57, 58, 66, 70, 76, 79, 81, 85, 90, 92, 93, 95"
1015,Nilaparvata,50,17,"7, 10, 17, 23, 30, 41, 46, 65, 73, 76, 79, 81, 85, 90, 93, 94, 95"
756,Ralstonia,50,18,"1, 4, 11, 15, 21, 32, 57, 64, 70, 76, 79, 81, 85, 90, 93, 94, 95, 100"
280,Chitinophaga,49,12,"1, 11, 15, 38, 57, 66, 70, 76, 81, 85, 92, 94"
998,Varroa,48,24,"7, 22, 29, 32, 38, 41, 43, 46, 50, 57, 58, 65, 70, 73, 76, 77, 78, 81, 90, 91, 92, 93, 95, 100"
925,Diploscapter,48,15,"7, 21, 32, 46, 50, 57, 76, 77, 78, 79, 81, 91, 92, 93, 100"
1094,Temnothorax,47,18,"7, 10, 11, 12, 17, 22, 23, 29, 30, 38, 41, 50, 58, 79, 81, 91, 93, 94"
19,Myxococcales,47,16,"1, 7, 11, 15, 24, 32, 38, 57, 58, 66, 78, 81, 82, 92, 94, 100"
549,Oryzias,46,18,"1, 7, 11, 24, 29, 43, 46, 50, 58, 76, 77, 78, 79, 91, 92, 93, 94, 100"
1200,Trichomalopsis,46,17,"10, 12, 17, 22, 23, 29, 30, 41, 46, 50, 73, 76, 81, 90, 91, 94, 95"
262,Sphingomonas,46,18,"1, 7, 15, 22, 24, 40, 57, 58, 64, 65, 66, 70, 73, 79, 85, 90, 94, 95"
1185,Panstrongylus,46,20,"10, 11, 12, 15, 17, 22, 23, 30, 32, 46, 50, 65, 73, 76, 79, 81, 91, 93, 94, 95"
128,Aphanomyces,46,14,"1, 21, 24, 32, 41, 43, 46, 50, 58, 66, 70, 76, 81, 92"
388,Lactococcus,46,18,"1, 15, 17, 30, 32, 57, 65, 66, 70, 73, 81, 85, 90, 92, 93, 94, 95, 100"
41,Aeromonas,45,15,"1, 10, 15, 22, 24, 32, 57, 58, 66, 73, 76, 85, 92, 94, 100"
1091,Melanaphis,45,15,"7, 10, 12, 17, 23, 30, 66, 73, 77, 78, 90, 91, 92, 94, 95"
1001,Argulus,45,22,"7, 11, 17, 29, 30, 32, 41, 46, 50, 57, 66, 70, 73, 76, 77, 78, 79, 81, 90, 91, 92, 93"
197,Salix,45,12,"1, 24, 32, 38, 46, 66, 74, 76, 85, 90, 92, 100"
880,Strongylocentrotus,45,14,"7, 11, 15, 29, 32, 43, 46, 50, 58, 77, 92, 93, 94, 100"
180,Didymodactylos,45,22,"1, 7, 11, 16, 21, 22, 24, 29, 32, 38, 46, 58, 66, 70, 76, 77, 78, 79, 81, 92, 93, 94"
816,Sphingobium,44,11,"4, 21, 24, 58, 70, 73, 79, 85, 90, 93, 95"
94,Planctomycetaceae,44,16,"1, 4, 15, 24, 38, 40, 41, 57, 58, 64, 66, 70, 77, 78, 85, 95"
873,Clytia,44,17,"7, 32, 38, 46, 50, 65, 70, 73, 76, 77, 78, 79, 81, 82, 85, 92, 100"
338,Bacteroidales,44,16,"1, 7, 11, 15, 24, 38, 40, 57, 58, 65, 66, 70, 79, 81, 85, 92"
1294,Portunus,43,20,"11, 17, 23, 24, 29, 30, 38, 43, 50, 73, 76, 77, 78, 79, 81, 90, 92, 93, 95, 100"
2656,Chloroflexus,43,11,"57, 66, 70, 73, 77, 81, 85, 90, 92, 94, 100"
396,Pomacea,43,20,"1, 7, 11, 29, 43, 46, 50, 55, 57, 65, 66, 70, 76, 77, 78, 81, 93, 94, 95, 100"
2659,Methanococcus,43,9,"57, 66, 73, 81, 85, 92, 94, 95, 100"
1789,Toxoplasma,43,16,"19, 24, 29, 32, 38, 43, 46, 55, 57, 58, 66, 73, 81, 92, 95, 100"
836,Flavobacteriales,43,14,"4, 7, 11, 15, 24, 38, 57, 58, 66, 70, 76, 81, 85, 92"
843,Pedobacter,43,16,"4, 11, 15, 24, 38, 55, 57, 58, 66, 70, 79, 81, 82, 85, 92, 94"
1006,Zeugodacus,43,17,"7, 11, 12, 17, 23, 30, 41, 43, 46, 50, 65, 73, 76, 90, 91, 94, 95"
839,Talaromyces,42,17,"4, 7, 15, 38, 57, 58, 65, 66, 73, 76, 81, 85, 90, 92, 93, 94, 95"
1075,Chitinophagaceae,42,15,"7, 11, 15, 24, 38, 57, 58, 64, 66, 70, 76, 79, 85, 92, 95"
1221,Melipona,42,14,"10, 12, 17, 23, 29, 30, 41, 50, 58, 73, 79, 91, 94, 95"
1281,Capra,42,13,"11, 43, 46, 57, 66, 70, 77, 78, 81, 85, 90, 92, 93"
1487,Nyssomyia,42,21,"12, 17, 22, 29, 30, 32, 41, 43, 46, 50, 57, 70, 73, 76, 77, 78, 79, 90, 93, 94, 95"
315,Dinoponera,41,18,"1, 10, 11, 12, 17, 23, 29, 30, 41, 43, 50, 73, 77, 78, 90, 91, 93, 95"
435,Enterobacter,41,16,"1, 11, 15, 30, 32, 57, 58, 70, 73, 76, 79, 81, 85, 92, 94, 100"
1003,Helicoverpa,41,17,"7, 10, 11, 17, 23, 29, 30, 41, 46, 50, 73, 77, 78, 81, 90, 93, 95"
753,Zymomonas,41,7,"1, 30, 57, 58, 85, 92, 100"
1189,Solenopsis,41,20,"10, 12, 22, 23, 24, 29, 30, 32, 40, 43, 50, 73, 76, 77, 78, 79, 90, 91, 94, 95"
668,Stegodyphus,40,18,"1, 7, 11, 12, 29, 38, 41, 46, 50, 58, 65, 77, 78, 81, 90, 91, 93, 94"
534,Rhizoctonia,40,12,"1, 4, 32, 46, 57, 65, 66, 70, 79, 81, 90, 100"
246,Rhodopseudomonas,40,14,"1, 38, 57, 66, 70, 73, 76, 81, 85, 90, 92, 93, 94, 95"
2653,Methylomonas,40,4,"57, 70, 85, 92"
1019,Manduca,40,16,"7, 10, 11, 12, 15, 17, 23, 29, 30, 41, 57, 70, 81, 90, 91, 93"
493,Chromobacterium,40,13,"1, 11, 15, 40, 57, 58, 64, 66, 70, 73, 85, 92, 100"
859,Armatimonadetes,39,13,"4, 11, 15, 57, 58, 65, 66, 70, 76, 79, 81, 85, 92"
1590,Lactiplantibacillus,39,11,"15, 57, 66, 70, 73, 76, 85, 92, 93, 94, 100"
783,Perkinsus,39,11,"4, 21, 24, 32, 38, 43, 50, 58, 65, 74, 92"
2283,Trichoderma,39,12,"32, 57, 58, 66, 70, 76, 81, 85, 90, 92, 94, 100"
200,Leptotrombidium,39,16,"1, 4, 7, 29, 41, 46, 50, 73, 76, 77, 78, 81, 90, 91, 95, 100"
881,Ciona,39,12,"7, 32, 43, 46, 50, 65, 73, 77, 78, 90, 95, 100"
720,Cryptococcus,38,13,"1, 32, 38, 46, 57, 66, 70, 76, 81, 90, 93, 94, 100"
122,Microbacterium,38,14,"1, 15, 32, 38, 40, 57, 58, 66, 73, 76, 81, 85, 94, 95"
869,Salmo,38,15,"5, 7, 21, 32, 38, 46, 50, 58, 65, 76, 78, 79, 81, 93, 100"
994,Euroglyphus,38,15,"7, 22, 29, 43, 46, 50, 65, 73, 77, 78, 90, 91, 93, 95, 100"
401,viral,38,16,"1, 4, 21, 22, 24, 32, 38, 40, 46, 50, 55, 57, 58, 65, 66, 92"
178,Arion,37,16,"1, 7, 29, 32, 38, 43, 46, 50, 55, 65, 70, 73, 81, 94, 95, 100"
615,Chlorobium,37,17,"1, 11, 15, 23, 29, 38, 39, 41, 57, 58, 65, 70, 73, 76, 85, 92, 100"
142,Proteobacteria,37,21,"1, 4, 11, 15, 21, 22, 24, 32, 38, 43, 57, 58, 66, 76, 79, 81, 85, 90, 92, 94, 100"
1459,Prevotella,37,14,"11, 15, 22, 24, 38, 40, 58, 66, 70, 76, 79, 81, 92, 94"
2661,Thermoanaerobacterium,37,8,"57, 66, 70, 76, 79, 85, 92, 94"
1052,Bugula,37,14,"7, 29, 32, 42, 50, 58, 65, 76, 77, 78, 81, 82, 90, 94"
224,Methanosarcina,37,14,"1, 11, 32, 57, 58, 66, 70, 73, 76, 81, 85, 92, 94, 95"
181,Myotis,37,17,"1, 7, 11, 15, 24, 43, 46, 50, 58, 65, 77, 81, 91, 92, 93, 94, 100"
1087,Hyalella,37,15,"7, 17, 22, 23, 29, 30, 50, 73, 76, 77, 78, 81, 90, 92, 93"
878,Takifugu,36,14,"7, 24, 29, 38, 46, 50, 55, 57, 58, 65, 81, 92, 93, 94"
924,Cricetulus,36,16,"7, 11, 12, 29, 32, 38, 46, 50, 65, 66, 77, 78, 79, 90, 93, 94"
121,Geobacter,36,12,"1, 15, 24, 38, 57, 66, 73, 76, 81, 85, 92, 100"
259,Pectobacterium,36,16,"1, 4, 24, 50, 57, 58, 70, 73, 76, 77, 81, 85, 92, 94, 95, 100"
649,Xylella,36,13,"1, 39, 65, 66, 70, 73, 79, 81, 85, 90, 92, 95, 100"
1409,Megaselia,35,14,"11, 12, 17, 22, 23, 29, 30, 41, 73, 76, 81, 90, 93, 95"
2037,Thermobifida,35,11,"24, 57, 58, 66, 70, 79, 81, 85, 93, 94, 100"
